# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 36, mean track length: 2
1 -25.647153126998123 -35.061926493985979 92.283570829003551 178 190 171 1.1833702712383598 18 11 14 8
2 -27.147208395346805 -65.709532248618288 89.796594368925696 177 162 141 0.87586138962035098 18 21 14 11
3 -1.120921490262605 22.266050189677564 72.080446638852621 145 127 105 0.72413657402905507 18 28 14 19
4 6.5152524425647824 43.477100696051551 68.943972898375037 210 216 214 0.74082955786740157 18 29 14 20
5 -27.147208395346805 -65.709532248618288 89.796594368925696 177 162 141 0.87586138962035098 18 18 14 21
6 -17.506542936809065 -67.886758545168007 83.527857529758691 201 190 168 1.2998416356483589 18 34 14 22
7 3.7876099534060415 10.278380016511699 72.233905566882257 23 5 5 0.84649525653803526 18 39 14 33
8 2.9070006414190854 29.019202822779373 75.756503065335409 151 131 107 1.4449227428634286 18 59 14 35
9 10.446171418743109 -25.399144754108626 62.419140644177716 161 166 160 1.4549800593091651 18 42 14 41
10 -27.516832420953744 -65.152562969531445 82.469993883078686 153 87 77 1.7422512314550931 18 47 14 44
11 -10.83352236627085 3.9287075106724894 78.36980586996313 147 140 125 0.31889182181982295 18 56 14 50
12 -7.2641203300734878 7.1718278490354077 77.799344975550994 168 161 152 0.51522215160080487 18 57 14 51
13 3.1827076327319359 21.654692816517141 71.278682645932605 44 29 26 2.1556827763260662 18 109 14 53
14 5.2826226661303952 33.651907147088878 70.881705959040175 183 195 209 0.48145218953326208 18 60 14 54
15 10.446171418743109 -25.399144754108626 62.419140644177716 161 166 160 1.4549800593091651 18 37 14 57
16 -3.6750296511739315 17.262350099191398 77.762620104299316 26 6 7 0.25332479129789309 18 77 14 67
17 -3.6750296511739315 17.262350099191398 77.762620104299316 26 6 7 0.25332479129789309 18 68 14 72
18 6.6236472753916322 -1.8545156042417323 58.522964876814186 18 7 5 0.81269765023739748 18 54 14 74
19 -24.567901423569328 -69.461124916424438 83.965419100837209 102 99 92 0.186426396038679 18 81 14 78
20 1.6908579711419922 -35.577452875432982 66.525940670630817 0 1 0 0.59993120199959715 18 120 14 79
21 -7.2044562687701506 -56.893374001328255 78.892443269194317 199 182 162 0.19258256516285671 18 85 14 87
22 11.150686526577628 -34.044581839427281 62.67919490207175 136 116 91 2.4008185547034095 18 79 14 88
23 -7.4386262216129388 -37.595390312141348 61.662937481273076 4 0 0 1.5600950601725692 18 94 14 92
24 -26.568022455218635 -56.344436660934534 90.021095315689934 102 90 68 0.97557424228819922 18 92 14 93
25 -13.799180637498944 6.3587599609397287 72.338812179557934 179 166 149 0.1579810695011532 18 101 14 99
26 5.0790838308739055 14.179317914664782 68.279195251188114 144 126 104 0.5783072203402706 18 114 14 100
27 -24.203195127795304 -59.505571281156364 88.165710452110474 167 152 131 0.028836674026664247 18 90 14 101
28 -5.0916015654512199 -15.113089529026821 22.270618675984583 201 181 155 0.60214896882538316 18 26 14 102
29 5.0790838308739055 14.179317914664782 68.279195251188114 144 126 104 0.5783072203402706 18 103 14 105
30 8.28531509627744 33.989334469368387 68.771738108959255 173 179 182 1.3283845370874161 18 110 14 107
31 6.8500393733956981 9.5935981024586976 64.614496142085443 25 9 3 0.48929743842674372 18 113 14 109
32 -13.799180637498944 6.3587599609397287 72.338812179557934 179 166 149 0.1579810695011532 18 117 14 110
33 -8.4399973048007979 2.1968797622703913 77.083268205036106 131 116 101 0.82564760383173252 18 119 14 111
34 -8.8976797701053467 1.2544493527893841 40.875969594024312 205 205 202 1.9721886083464402 18 15 14 112
35 -7.1183091201681066 -2.2015769998146428 75.844005478369468 216 221 222 1.6204652407610403 18 107 14 114
36 -19.645373923445767 14.47928231287765 75.647151891324299 153 161 157 0.73217201887979333 18 115 14 121
